2018-07-31:Number of positive, negative, neutral and total sentences are:705:546:681:1932
2018-10-26:Number of positive, negative, neutral and total sentences are:3773:2320:3513:9606
2018-10-27:Number of positive, negative, neutral and total sentences are:3777:2320:3521:9618
2018-10-28:Number of positive, negative, neutral and total sentences are:3780:2323:3529:9632
2018-10-29:Number of positive, negative, neutral and total sentences are:3789:2326:3545:9660
2018-10-30:Number of positive, negative, neutral and total sentences are:3794:2326:3547:9667
2018-10-31:Number of positive, negative, neutral and total sentences are:3801:2329:3558:9688
2018-11-01:Number of positive, negative, neutral and total sentences are:3807:2331:3570:9708
2018-11-02:Number of positive, negative, neutral and total sentences are:3813:2331:3578:9722
2018-11-03:Number of positive, negative, neutral and total sentences are:3816:2332:3588:9736
2018-11-04:Number of positive, negative, neutral and total sentences are:3821:2334:3592:9747
2018-11-05:Number of positive, negative, neutral and total sentences are:3821:2336:3594:9751
2018-11-06:Number of positive, negative, neutral and total sentences are:3823:2336:3611:9770
2018-11-07:Number of positive, negative, neutral and total sentences are:3827:2336:3617:9780
2018-11-08:Number of positive, negative, neutral and total sentences are:3830:2338:3628:9796
2018-11-09:Number of positive, negative, neutral and total sentences are:3834:2340:3634:9808
2018-11-10:Number of positive, negative, neutral and total sentences are:3836:2340:3638:9814
2018-11-11:Number of positive, negative, neutral and total sentences are:3836:2342:3648:9826
2018-11-12:Number of positive, negative, neutral and total sentences are:3838:2342:3660:9840
2018-11-13:Number of positive, negative, neutral and total sentences are:3842:2344:3666:9852
2018-11-14:Number of positive, negative, neutral and total sentences are:3848:2346:3672:9866
2018-11-15:Number of positive, negative, neutral and total sentences are:3848:2346:3678:9872
2018-11-16:Number of positive, negative, neutral and total sentences are:3851:2346:3682:9879
2018-11-17:Number of positive, negative, neutral and total sentences are:3851:2346:3690:9887
2018-11-18:Number of positive, negative, neutral and total sentences are:3855:2346:3692:9893
2018-11-19:Number of positive, negative, neutral and total sentences are:3857:2346:3698:9901
2018-11-20:Number of positive, negative, neutral and total sentences are:3863:2349:3704:9916
2018-11-21:Number of positive, negative, neutral and total sentences are:3866:2349:3714:9929
2018-11-22:Number of positive, negative, neutral and total sentences are:3868:2351:3722:9941
2018-11-23:Number of positive, negative, neutral and total sentences are:3870:2351:3722:9943
2018-11-24:Number of positive, negative, neutral and total sentences are:3872:2351:3724:9947
2018-11-25:Number of positive, negative, neutral and total sentences are:3874:2351:3728:9953
2018-11-26:Number of positive, negative, neutral and total sentences are:3874:2351:3734:9959
2018-11-27:Number of positive, negative, neutral and total sentences are:3881:2351:3745:9977
2018-11-28:Number of positive, negative, neutral and total sentences are:3885:2353:3747:9985
2018-11-29:Number of positive, negative, neutral and total sentences are:3887:2354:3748:9989
